# DEMO / PUBLIC DATA — synthetic ST-266-style secretome abundances. Not Noveome proprietary data.
# Rows = gene symbols; columns = lot_replicate LFQ-like intensities. See data/DEMO_PUBLIC_DATA.md.
gene,LotA_rep1,LotA_rep2,LotA_rep3,LotB_rep1,LotB_rep2,LotB_rep3,LotC_rep1,LotC_rep2,LotC_rep3,LotD_rep1,LotD_rep2,LotD_rep3
ALB,2.0943e+09,2.2291e+09,2.2658e+09,2.2376e+09,2.2174e+09,2.1994e+09,1.9000e+09,2.5172e+09,2.4941e+09,2.5296e+09,2.5447e+09,2.2658e+09
FGF2,2.6675e+07,2.7153e+07,2.4879e+07,2.5885e+07,2.4330e+07,2.8317e+07,2.2163e+07,2.3294e+07,2.3995e+07,2.6175e+07,2.6036e+07,3.0504e+07
GDF15,3.6859e+07,3.2597e+07,3.5103e+07,4.5621e+07,3.4801e+07,3.7644e+07,4.2942e+07,3.3755e+07,4.0588e+07,3.8557e+07,4.3768e+07,4.0432e+07
GDNF,4.1670e+07,4.6659e+07,4.3962e+07,4.3298e+07,4.5363e+07,4.3289e+07,4.3859e+07,4.4249e+07,4.1755e+07,4.8238e+07,4.2897e+07,4.2789e+07
NRG1,1.5915e+07,1.6714e+07,1.9796e+07,1.7892e+07,1.5926e+07,1.4643e+07,1.8832e+07,1.7280e+07,1.7930e+07,1.9725e+07,1.9896e+07,2.1383e+07
TGFB1,5.4076e+08,5.6191e+08,5.3435e+08,6.1506e+08,5.9670e+08,6.0174e+08,5.7407e+08,5.9328e+08,5.6825e+08,6.2480e+08,5.8820e+08,4.9807e+08
TGFB2,5.4188e+08,5.1524e+08,5.2289e+08,6.0221e+08,4.7039e+08,5.5812e+08,5.0593e+08,4.9113e+08,4.6267e+08,5.2702e+08,5.4432e+08,6.3213e+08
ANG,1.5656e+07,1.3282e+07,1.3517e+07,1.4703e+07,1.5070e+07,1.1251e+07,1.2696e+07,1.3737e+07,1.3757e+07,1.3727e+07,1.2574e+07,1.4617e+07
PDGFB,3.4014e+07,3.4479e+07,3.8997e+07,3.5219e+07,3.5507e+07,3.4450e+07,2.9338e+07,3.3104e+07,2.7508e+07,3.2780e+07,3.6925e+07,3.5039e+07
PDGFA,2.4540e+07,2.5543e+07,2.0181e+07,2.4797e+07,2.2544e+07,2.5080e+07,1.9242e+07,2.2750e+07,2.0131e+07,2.4860e+07,1.9494e+07,1.9924e+07
VEGFA,2.7143e+07,2.7279e+07,2.8145e+07,2.5493e+07,2.6066e+07,3.4493e+07,2.2678e+07,1.6481e+07,2.4389e+07,2.4886e+07,3.3093e+07,2.5163e+07
VEGFC,3.8607e+08,3.4711e+08,3.7434e+08,4.7703e+08,4.4913e+08,3.8621e+08,4.2448e+08,3.9693e+08,3.3248e+08,3.7852e+08,3.9805e+08,4.2027e+08
AREG,7.9830e+06,9.0075e+06,7.1448e+06,7.4409e+06,7.1531e+06,7.9574e+06,8.5505e+06,8.7153e+06,6.8489e+06,7.7602e+06,7.6705e+06,7.6388e+06
DCN,1.8844e+09,1.3909e+09,2.0668e+09,1.7372e+09,1.8379e+09,1.5113e+09,1.5956e+09,1.8979e+09,1.5710e+09,1.9181e+09,1.8428e+09,1.7914e+09
SPARC,1.7242e+09,2.0317e+09,2.0270e+09,2.1750e+09,1.8138e+09,2.0334e+09,1.9510e+09,2.0179e+09,1.7039e+09,1.7968e+09,2.0114e+09,2.1873e+09
MIF,5.2228e+08,5.5667e+08,5.6339e+08,4.6727e+08,5.2548e+08,5.7166e+08,4.8980e+08,5.2725e+08,4.8979e+08,5.4330e+08,5.2489e+08,4.5907e+08
DPP4,5.9834e+08,5.5658e+08,5.3173e+08,6.2185e+08,6.4535e+08,5.9571e+08,5.6557e+08,5.1179e+08,6.5013e+08,5.9552e+08,5.6822e+08,6.0480e+08
TNFRSF1A,3.2072e+08,3.8331e+08,3.6401e+08,3.9862e+08,3.8745e+08,4.5005e+08,3.5407e+08,3.0532e+08,3.5349e+08,3.8720e+08,3.7301e+08,3.4595e+08
TNFRSF1B,4.9609e+08,5.2867e+08,4.1497e+08,5.1822e+08,4.7863e+08,5.3610e+08,5.2282e+08,4.9724e+08,4.7335e+08,5.0949e+08,5.6260e+08,4.7403e+08
AXL,2.6125e+08,2.0468e+08,2.4328e+08,2.4361e+08,2.2539e+08,2.4238e+08,1.8988e+08,1.8137e+08,2.1338e+08,2.7871e+08,2.4085e+08,2.3525e+08
TIMP1,1.0580e+08,1.0642e+08,1.2500e+08,1.4408e+08,1.0296e+08,1.4689e+08,8.7020e+07,1.1283e+08,1.2758e+08,1.0814e+08,1.2737e+08,1.1821e+08
TIMP2,5.5946e+08,6.1335e+08,7.5325e+08,5.6395e+08,6.5260e+08,5.9964e+08,6.2482e+08,5.2949e+08,5.4289e+08,6.0597e+08,6.0777e+08,5.6338e+08
